lilv 0.24.20-1
linux 6.1.11.arch1-1
linux-api-headers 6.1.9-1
linux-firmware 20230117.7e4f0ed-1
linux-firmware-whence 20230117.7e4f0ed-1
llvm-libs 15.0.7-1
lm_sensors 1:3.6.0.r41.g31d1f125-2
lmdb 0.9.30-2
lpsolve 5.5.2.11-2
lsof 4.98.0-1
lua52 5.2.4-5
lua53 5.3.6-1
luajit 2.1.0.beta3.r467.gd0e88930-1
luit 20221028-1
lv2 1.18.10-1
lvm2 2.03.18-4
lxmenu-data 0.1.5-3
lz4 1:1.9.4-1
lzo 2.10-5
m4 1.4.19-2
mailcap 2.1.53-1
make 4.4-1
man-db 2.11.2-1
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
menu-cache 1.1.0-3
mesa 22.3.4-1
metis 5.1.0.p11-1
miniupnpc 2.2.4-1
minizip 1:1.2.13-2
mjpegtools 2.2.1-1
mkinitcpio 34-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20221107-2
monero 0.18.1.2-4
monero-gui 0.18.1.2-3
mono 6.12.0.177-1
mono-msbuild-git 16.10.1.r5004.g63458bd6c-1
mpfr 4.2.0-3
mpg123 1.31.2-2
msgpack-c 5.0.0-1
mtdev 1.1.6-2
mypaint-brushes1 1.3.1-1
nano 7.2-1
ncurses 6.4-1
ndctl 75-1
neofetch 7.1.0-2
neon 0.32.5-1
neovim 0.8.3-1
nerd-fonts-complete 2.2.2-2
net-tools 2.10-2
netpbm 10.73.42-2
netstandard-targeting-pack 7.0.2.sdk102-2
nettle 3.8.1-1
nginx 1.22.1-2
ninja 1.11.1-2
nitrogen 1.6.1-4
nmap 7.93-1
node-gyp 9.3.1-1
nodejs 19.6.0-1
nodejs-nopt 7.0.0-1
nomacs 1:3.17.2206-12
nordvpn-bin 3.15.4-1
noto-fonts-emoji 20220920-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.87-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p15-3
ocl-icd 2.3.1-1
openal 1.23.0-1
opencore-amr 0.1.6-1
opencv 4.7.0-1
openexr 3.1.5-1
openjpeg2 2.5.0-2
openmp 15.0.7-1
openmpi 4.1.4-4
openpmix 4.2.3-1
openssh 9.2p1-1
openssl 3.0.8-1
opus 1.3.1-3
orc 0.4.33-1
p11-kit 0.24.1-1
pacman 6.0.2-5
pacman-mirrorlist 20221204-1
pam 1.5.2-1
pambase 20221020-1
pango 1:1.50.12-1
pangomm 2.46.3-1
parted 3.5-1
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.9.0-2
pcmanfm 1.3.2-1
pcre 8.45-3
pcre2 10.42-2
pcsclite 1.9.9-2
peek 1.5.1-3
perl 5.36.0-3
perl-error 0.17029-4
perl-mailtools 2.21-6
perl-timedate 2.33-4
picom 10.2-1
pinentry 1.2.1-1
pipewire 1:0.3.65-6
pixman 0.42.2-1
pkgconf 1.8.0-1
polkit 122-1
polkit-qt5 0.114.0-1
polybar 3.6.3-3
poppler 23.02.0-1
poppler-data 0.4.12-1
poppler-glib 23.02.0-1
popt 1.19-1
portaudio 1:19.7.0-1
postman-bin 10.9.4-1
procps-ng 3.3.17-1
protobuf 21.12-1
protobuf-c 1.4.1-1
psmisc 23.6-1
pulseaudio 16.1-3
pulseaudio-alsa 1:1.2.7.1-1
pulseaudio-bluetooth 16.1-3
pybind11 2.10.3-2
python 3.10.9-1
python-appdirs 1.4.4-7
python-asgiref 3.5.2-1
python-attrs 22.2.0-1
python-autocommand 2.2.2-1
python-cachecontrol 1:0.12.11-1
python-certifi 2022.12.07-1
python-cffi 1.15.1-1
python-chardet 5.1.0-1
python-colorama 0.4.6-1
python-commonmark 0.9.1-6
python-contextlib2 21.6.0-1
python-cryptography 39.0.1-1
python-distlib 0.3.6-1
python-distro 1.8.0-2
python-django 4.1.6-1
python-docopt 0.6.2-11
python-docutils 1:0.19-2
python-fastjsonschema 2.16.2-1
python-future 0.18.2-7
python-gobject 3.42.2-1
python-html5lib 1.1-11
python-idna 3.4-1
python-image 1.5.33-1
python-inflect 6.0.2-1
python-jaraco.context 4.3.0-1
python-jaraco.functools 3.5.2-1
python-jaraco.text 3.11.1-1
python-markdown-it-py 2.1.0-1
python-mdurl 0.1.2-2
python-more-itertools 9.0.0-1
python-msgpack 1.0.4-1
python-nspektr 0.4.0-2
python-ordered-set 4.1.0-1
python-packaging 23.0-1
python-pep517 0.13.0-1
python-pillow 9.4.0-2
python-pip 22.3.1-1
python-platformdirs 2.6.2-1
python-ply 3.11-10
python-progress 1.6-5
python-pycparser 2.21-3
python-pydantic 1.10.4-1
python-pygments 2.14.0-2
python-pyopenssl 23.0.0-1
python-pyparsing 3.0.9-1
python-pytz 2022.7-1
python-qrcode 7.3.1-1
python-requests 2.28.1-1
python-resolvelib 0.9.0-1
python-retrying 1.3.3-15
python-rich 13.3.1-1
python-setproctitle 1.3.2-1
python-setuptools 1:67.2.0-1
python-six 1.16.0-6
python-sqlparse 0.4.3-1
python-tenacity 8.2.1-1
python-toml 0.10.2-8
python-tomli 2.0.1-1
python-trove-classifiers 2023.2.8-1
python-typing_extensions 4.4.0-1
python-uc-micro-py 1.0.1-3
python-urllib3 1.26.12-1
python-validate-pyproject 0.12.1-1
python-webencodings 0.5.1-9
python-wheel 0.38.4-1
python-xlib 0.31-4
python2-six 1.16.0-6
qbittorrent 4.5.0-1
qca-qt5 2.3.5-2
qqc2-desktop-style 5.102.0-1
qrencode 4.1.1-2
qt5-base 5.15.8+kde+r181-1
qt5-connectivity 5.15.8+kde+r5-1
qt5-declarative 5.15.8+kde+r24-2
qt5-graphicaleffects 5.15.8-1
qt5-multimedia 5.15.8+kde+r2-1
qt5-quickcontrols 5.15.8-1
qt5-quickcontrols2 5.15.8+kde+r7-1
qt5-speech 5.15.8+kde+r1-1
qt5-svg 5.15.8+kde+r8-1
qt5-tools 5.15.8+kde+r1-3
qt5-translations 5.15.8-1
qt5-wayland 5.15.8+kde+r58-1
qt5-x11extras 5.15.8-1
qt5-xmlpatterns 5.15.8-1
qt6-base 6.4.2-1
qt6-svg 6.4.2-1
qt6-translations 6.4.2-1
